MOF, Henry Coefficient, Error
ABAVIJ_clean 1.68417e-05 4.81437e-07 
ABAYIO_clean 1.62128e-05 3.93517e-07 
ABAYOU_clean 1.65475e-05 3.67845e-07 
ABESUX_clean 1.54556e-06 1.38477e-08 
ABETAE_clean 1.5434e-06 1.29568e-08 
ABETIN_clean 9.88481e-06 4.59732e-08 
ABEXEM_clean 2.78263e-06 3.01561e-08 
ABEXEN_clean 1.20883e-05 2.44271e-07 
ABEXIQ_clean 2.69862e-06 3.35309e-08 
ABEXOW_clean 2.67028e-06 4.31586e-08 
ABEXUC_clean 2.66102e-06 3.71861e-08 
ABEYAJ_clean 2.56509e-06 3.25481e-08 
ABEYIR_clean 2.45882e-06 8.40399e-09 
ABIXOZ_clean 6.15331e-07 3.27605e-09 
ABIYIV_clean 6.60297e-06 2.38736e-07 
ABULOB_clean 8.33721e-06 8.57406e-08 
ABUWOJ_clean 1.56035e-05 5.88409e-08 
ac403674p_si_001_clean 2.9954e-06 3.24732e-08 
ACAJIY_clean 2.89664e-05 6.39054e-07 
ACAJIZ_clean 4.93325e-06 4.86014e-08 
ACAJOF_clean 4.02705e-06 3.69762e-08 
ACAKUM_clean 2.09783e-06 2.13306e-08 
ACALIB_clean 5.71769e-07 1.4099e-08 
ACIBIY_clean 5.51063e-06 1.55643e-07 
ACIBOE_clean 6.85792e-06 2.48655e-08 
ACOGAB_clean 1.82423e-05 2.68464e-07 
ACOGEF_clean 1.64054e-05 2.3319e-07 
ACOLEL_clean 2.784e-06 4.31756e-07 
ACOLIP_clean 7.40306e-06 7.62525e-08 
ACOLOV_clean 7.98896e-06 2.60757e-08 
acs.cgd.5b01686_WAHFUJ1434675_clean 3.21776e-06 8.53668e-08 
acs.cgd.6b00463_OLOMUZ1451936_clean 2.12683e-06 2.3271e-08 
acs.chemmater.6b02817_cm6b02817_si_004_clean 1.02842e-05 3.57247e-08 
acs.chemrev.6b00346_cr6b00346_si_001_clean 7.32895e-06 5.16424e-08 
acscombsci.5b00188_24205_clean 2.04403e-06 9.28501e-09 
acscombsci.5b00188_3001288_clean 4.32881e-06 2.08558e-08 
acscombsci.5b00188_5020072_clean 3.71139e-06 1.37971e-08 
acscombsci.5b00188_5024922_clean 4.00922e-06 1.85063e-08 
acscombsci.5b00188_5036495_clean 4.15333e-06 2.43823e-08 
acscombsci.5b00188_5040209_clean 6.92268e-06 2.16648e-08 
acscombsci.5b00188_8372_clean 9.24826e-07 4.67591e-09 
acs.inorgchem.5b02108_ic5b02108_si_002_clean 2.11634e-05 1.11652e-07 
acs.inorgchem.5b02973_ic5b02973_si_002_clean 1.30797e-05 1.28093e-06 
acs.inorgchem.6b00081_ic6b00081_si_001_clean 6.81727e-06 1.112e-07 
acs.inorgchem.6b00433_ic6b00433_si_002_clean 6.72259e-06 6.28498e-08 
acs.inorgchem.6b00894_ic6b00894_si_002_clean 5.76266e-05 6.83212e-07 
acs.inorgchem.6b00894_ic6b00894_si_003_clean 1.55004e-05 1.35117e-07 
acs.inorgchem.6b01569_ic6b01569_si_002_clean 2.06079e-06 3.14481e-08 
acs.inorgchem.6b01740_ic6b01740_si_002_clean 8.52558e-06 4.43296e-08 
acs.inorgchem.6b02407_ic6b02407_si_002_clean 1.16833e-05 7.76828e-08 
acs.inorgchem.6b02407_ic6b02407_si_003_clean 2.04117e-05 1.02457e-07 
acs.inorgchem.6b02514_ic6b02514_si_002_clean 2.0704e-06 2.39585e-08 
acs.inorgchem.6b02696_ic6b02696_si_002_clean 1.14197e-05 6.07182e-08 
acs.jchemed.6b00258_ed6b00258_si_005_clean 1.61693e-06 3.47966e-08 
ACUBAB_clean 6.86833e-07 3.167e-09 
ACUFEK_clean 7.55387e-06 5.67873e-08 
ACUJOZ_manual 7.82739e-06 6.39987e-08 
ACUTOI_clean 5.15142e-06 8.49793e-08 
ADABIS_clean 9.36127e-07 8.57169e-08 
ADABUE_clean 1.22391e-06 3.32457e-08 
ADARAA_clean 1.11398e-05 1.58671e-07 
ADASAB_charged 4.29652e-06 2.64003e-08 
