,Unnamed: 0,MOF,Kh CH4/ Kh CO2,Kh CH4/Kh H2O,Kh CH4/Kh N2,Kh CH4/Kh N2O,Kh CH4/Kh O2,Kh CO2/Kh H2O,Kh CO2/Kh N2,Kh CO2/Kh N2O,Kh CO2/Kh O2,Kh H2O/Kh N2,Kh H2O/Kh N2O,Kh H2O/Kh O2,Kh N2/Kh N2O,Kh N2/Kh O2,Kh N2O/Kh O2,Kh CO2/Kh CH4,Kh H2O/Kh CH4,Kh H2O/Kh CO2,Kh N2/Kh CH4,Kh N2/Kh CO2,Kh N2/Kh H2O,Kh N2O/Kh CH4,Kh N2O/Kh CO2,Kh N2O/Kh H2O,Kh N2O/Kh N2,Kh O2/Kh CH4,Kh O2/Kh CO2,Kh O2/Kh H2O,Kh O2/Kh N2,Kh O2/Kh N2O,LCD,PLD,SA,VF,VF Error,AV
12,13,ABIXOZ_clean,0.000125554,3.55e-10,0.033977901,7.58e-08,0.698863636,2.82e-06,270.6232044,0.000603506,5566.227273,95804972.38,213.6506669,1970534091.0,2.23e-06,20.56818182,9223159.091,7964.682927,2819626016.0,29.43089431,13197365.85,1.430894309,354016.1036,0.003695175,1656.985717,0.000179655,1.04e-08,0.004680538,5.07e-10,448418.7845,0.048618785,1.08e-07,4.69665,3.92184,858.581,0.521944,0.001189,0.0412668
13,14,ABIYIV_clean,0.019885687,0.000503417,4.370860927,0.030432698,0.75862069,0.025315551,219.7993377,1.530381976,38.14908046,8682.384106,60.45224833,1506.942529,0.006962632,0.173563218,24.92781609,50.28742424,1986.424242,0.228787879,32.85939394,1.318181818,39.50141158,0.004549604,0.653431637,0.026212952,0.000115176,0.016541982,0.000663595,143.6238411,5.761589404,0.040115829,6.22728,4.0515,1367.82,0.598998,0.000626,0.0985132
14,15,ABULOB_clean,0.040120458,0.002507268,0.001324882,2.65e-06,0.245294118,0.062493499,0.033022606,6.6e-05,6.113941176,0.528416655,0.001056582,97.83323529,0.001999524,185.1441176,92594.11765,24.92494005,398.8405276,754.7841727,377482.0144,4.076738609,16.00166447,30.28228639,15144.75115,0.163560618,1.892446029,946.4484883,0.010221475,500.1191441,0.005401198,1.08e-05,4.33176,3.82431,794.583,0.33067,0.000665,0.0369225
15,16,ABUWOJ_clean,0.014839618,1e-05,3.196721311,0.01466703,0.866666667,0.000676543,215.4180328,0.988369797,58.40222222,318409.8361,1460.911424,86324.44444,0.004588148,0.271111111,59.08944444,67.38717949,99605.12821,0.312820513,68.18012821,1.153846154,1478.102051,0.004642137,1.011767056,0.017122636,3.14e-06,0.000684504,1.16e-05,217.9528689,3.68852459,0.016923496,4.86958,4.16445,1585.92,0.655217,0.000704,0.0856573
16,17,ac403674p_si_001_clean,0.194805195,0.044117647,2.803738318,0.25862069,1.020408163,0.226470588,14.39252336,1.327586207,5.238095238,63.55140187,5.862068966,23.1292517,0.092241379,0.363945578,3.945578231,5.133333333,22.66666667,0.356666667,3.866666667,0.98,4.415584416,0.069480519,0.753246753,0.190909091,0.015735294,0.170588235,0.043235294,10.8411215,2.747663551,0.253448276,5.07969,4.03039,2353.39,0.801216,0.001308,0.131569
17,18,ACAJIY_clean,0.334101382,2.056737589,7.712765957,0.363864492,0.953947368,6.156028369,23.08510638,1.089084065,2.855263158,3.75,0.176913425,0.463815789,0.047176913,0.123684211,2.621710526,2.993103448,0.486206897,0.129655172,2.748275862,1.048275862,0.162442396,0.043317972,0.918202765,0.350230415,0.266666667,5.65248227,2.156028369,21.19680851,8.085106383,0.381430364,8.50423,8.27985,1414.53,0.543559,0.000812,0.187862
18,19,ACAJIZ_clean,0.14457478,0.087411348,3.734848485,0.359854015,1.097995546,0.604609929,25.83333333,2.489051095,7.594654788,42.72727273,4.116788321,12.56124722,0.096350365,0.293986637,3.051224944,6.9168357,11.44016227,0.267748479,2.778904665,0.910750507,1.653958944,0.038709677,0.401759531,0.131671554,0.023404255,0.242907801,0.079609929,10.37878788,3.401515152,0.327737226,4.94767,3.4178,1817.17,0.601256,0.001654,0.0718345
19,20,ACAJOF_clean,0.13707483,0.084309623,3.504347826,0.344444444,1.033333333,0.615062762,25.56521739,2.512820513,7.538461538,41.56521739,4.085470085,12.25641026,0.098290598,0.294871795,3.0,7.29528536,11.86104218,0.285359801,2.903225806,0.967741935,1.62585034,0.039115646,0.397959184,0.132653061,0.024058577,0.244769874,0.081589958,10.17391304,3.391304348,0.333333333,6.18649,5.74044,1018.17,0.415701,0.000499,0.093002
20,21,ACAKUM_clean,2.81e-07,7.12e-19,0.038745387,2.35e-07,0.518518519,2.54e-12,138034.5018,0.837532675,1847276.543,5.44e+16,330245000000.0,7.28e+17,6.07e-06,13.38271605,2205617.284,3562604.762,1.4e+18,25.80952381,4253690.476,1.928571429,394308000000.0,7.24e-06,1.193983268,5.41e-07,1.84e-17,3.03e-12,1.37e-18,164810.8856,0.074723247,4.53e-07,6.86398,6.10482,1214.1,0.462052,0.000586,0.121768
21,22,ACALIB_clean,0.000367857,2.09e-10,0.155434783,0.000228219,0.27902439,5.69e-07,422.5407609,0.620401698,758.5121951,742116847.8,1089623.997,1332190244.0,0.001468265,1.795121951,1222.614634,2718.444056,4774458042.0,6.433566434,4381.748252,3.583916084,1756320.139,0.002366636,1.611858902,0.00131837,1.35e-09,9.18e-07,7.51e-10,681.076087,0.557065217,0.000817919,4.47083,3.0099,824.302,0.358112,0.000814,0.0354781
