MOF, HC CH4, Error CH4, HC CO2, Error CO2, HC H2O, Error H2O, HC N2, Error N2, HC N2O, Error N2O, HC O2, Error O2
MOF,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,
ACOLEL_clean, 2.784e-06, 4.31756e-07, 2.79475e-05, 1.51795e-06, 0.0101123, 0.00478528, 3.78844e-07, 2.55116e-08, 2.59471e-05, 1.41646e-06, 4.67879e-06, 3.37269e-07
ACOLIP_clean, 7.40306e-06, 7.62525e-08, 0.000351387, 4.51358e-06, 0.00104166, 0.000179001, 8.03108e-06, 5.44712e-07, 0.00048856, 1.36184e-05, 1.45083e-05, 4.88161e-08
ACOLOV_clean, 7.98896e-06, 2.60757e-08, 9.51788e-05, 2.85064e-06, 1.06781, 1.81252, 2.79002e-06, 2.47231e-08, 7.78306e-05, 3.11192e-06, 7.59378e-06, 3.68023e-08
acs.cgd.5b01686_WAHFUJ1434675_clean, 3.21776e-06, 8.53668e-08, 5.46918e-05, 3.38862e-07, 1.32398e-05, 3.48559e-07, 1.08693e-06, 9.26024e-09, 1.91895e-05, 7.33959e-08, 4.88765e-06, 4.87857e-08
acs.cgd.6b00463_OLOMUZ1451936_clean, 2.12683e-06, 2.3271e-08, 0.0310203, 0.0109632, 2796.56, 5508.99, 1.65786e-06, 3.33977e-08, 0.0427929, 0.0280992, 2.6807e-06, 4.19298e-08
acs.chemmater.6b02817_cm6b02817_si_004_clean, 1.02842e-05, 3.57247e-08, 2.58119e-05, 9.06393e-08, 7.62502e-06, 2.03925e-06, 3.28277e-06, 2.62218e-09, 2.74828e-05, 6.60381e-08, 9.42628e-06, 3.35782e-08
acs.chemrev.6b00346_cr6b00346_si_001_clean, 7.32895e-06, 5.16424e-08, 5.47611e-05, 1.78732e-07, 0.000820844, 0.000467108, 2.74055e-06, 4.32966e-09, 5.86886e-05, 6.25308e-07, 7.19275e-06, 6.11979e-08
acscombsci.5b00188_24205_clean, 2.04403e-06, 9.28501e-09, 0.000166661, 1.84145e-07, 2.1184e-05, 3.43118e-06, 8.34857e-06, 3.71032e-06, 7.23407e-05, 3.14556e-06, 3.18792e-06, 3.27233e-08
acscombsci.5b00188_3001288_clean, 4.32881e-06, 2.08558e-08, 1.01814e-05, 1.2005e-07, 0.000403427, 0.00016382, 3.43059e-06, 1.35845e-08, 1.04253e-05, 8.03918e-08, 4.44785e-06, 4.56621e-08
acscombsci.5b00188_5020072_clean, 3.71139e-06, 1.37971e-08, 9.761e-06, 3.33403e-08, 2.66899e-05, 6.91194e-06, 2.13066e-06, 8.54425e-09, 9.15926e-06, 8.67692e-08, 3.95496e-06, 1.33736e-08
acscombsci.5b00188_5024922_clean, 4.00922e-06, 1.85063e-08, 1.12994e-05, 1.34053e-07, 0.000183498, 0.000205153, 2.5887e-06, 7.63238e-09, 1.13498e-05, 1.49006e-07, 4.15333e-06, 2.43824e-08
acscombsci.5b00188_5036495_clean, 4.15333e-06, 2.43823e-08, 1.56661e-05, 1.39247e-07, 0.00165319, 0.000216982, 2.6169e-06, 7.63759e-09, 1.54275e-05, 5.03885e-08, 4.33707e-06, 1.48451e-08
acscombsci.5b00188_5040209_clean, 6.92268e-06, 2.16648e-08, 8.41603e-05, 3.44092e-07, 4.63775e-05, 2.76036e-05, 2.20078e-06, 2.28127e-08, 3.10735e-05, 2.67788e-07, 7.77512e-06, 6.95581e-08
acscombsci.5b00188_8372_clean, 9.24826e-07, 4.67591e-09, 2.11201e-05, 1.09632e-07, 6.4703e-05, 4.75553e-06, 1.08575e-06, 2.42313e-08, 5.29248e-05, 3.99937e-06, 1.41875e-06, 4.65805e-09
acs.inorgchem.5b02108_ic5b02108_si_002_clean, 2.11634e-05, 1.11652e-07, 0.000323287, 1.85905e-06, 0.000232087, 2.82817e-05, 5.38491e-06, 2.6752e-08, 0.000230123, 1.94602e-06, 2.167e-05, 1.67936e-07
acs.inorgchem.5b02973_ic5b02973_si_002_clean, 1.30797e-05, 1.28093e-06, 4.32337e-05, 7.41267e-07, 1.48163e-05, 3.09467e-07, 2.12396e-06, 7.48352e-08, 1.1247e-05, 3.41691e-07, 1.76944e-05, 5.73257e-07
acs.inorgchem.6b00081_ic6b00081_si_001_clean, 6.81727e-06, 1.112e-07, 2.62471e-05, 1.78517e-07, 3.89894e-05, 1.73918e-06, 1.59179e-06, 2.51917e-08, 2.66441e-05, 2.49712e-07, 6.76042e-06, 7.79608e-08
acs.inorgchem.6b00433_ic6b00433_si_002_clean, 6.72259e-06, 6.28498e-08, 0.000174581, 1.77179e-06, 7.66789e-05, 3.62074e-06, 2.07327e-06, 2.41493e-08, 7.42637e-05, 7.66371e-07, 7.8978e-06, 6.92759e-08
acs.inorgchem.6b00894_ic6b00894_si_002_clean, 5.76266e-05, 6.83212e-07, 0.000254526, 1.68154e-06, 0.00145698, 0.000591684, 8.41361e-06, 3.9553e-08, 0.000285372, 1.77811e-06, 4.28382e-05, 5.29403e-07
acs.inorgchem.6b00894_ic6b00894_si_003_clean, 1.55004e-05, 1.35117e-07, 0.000319808, 1.41383e-05, 0.00345723, 0.00176462, 2.64086e-06, 2.38016e-08, 0.000252051, 5.06333e-06, 1.39803e-05, 1.98025e-07
acs.inorgchem.6b01569_ic6b01569_si_002_clean, 2.06079e-06, 3.14481e-08, 0.000239967, 1.1455e-05, 285.333, 244.158, 1.36406e-06, 4.13547e-08, 0.000108272, 8.16805e-06, 2.32663e-06, 2.74867e-08
acs.inorgchem.6b01740_ic6b01740_si_002_clean, 8.52558e-06, 4.43296e-08, 2.51733e-05, 8.40588e-08, 0.000343125, 1.22716e-05, 3.69705e-06, 1.79308e-08, 2.67868e-05, 1.491e-07, 8.32517e-06, 2.92194e-08
acs.inorgchem.6b02407_ic6b02407_si_002_clean, 1.16833e-05, 7.76828e-08, 0.00091573, 2.7208e-05, 2.041, 1.33237, 5.2045e-06, 2.16275e-08, 0.000557177, 2.77459e-05, 1.4696e-05, 8.56723e-08
acs.inorgchem.6b02407_ic6b02407_si_003_clean, 2.04117e-05, 1.02457e-07, 0.000328734, 2.35809e-06, 9.22011e-05, 6.80198e-06, 6.44572e-06, 1.00779e-07, 0.000296318, 3.44745e-06, 2.14716e-05, 7.61263e-08
acs.inorgchem.6b02514_ic6b02514_si_002_clean, 2.0704e-06, 2.39585e-08, 4.68501e-05, 6.04082e-07, 0.000257912, 8.24291e-06, 8.38347e-07, 5.53014e-09, 2.10298e-05, 3.7351e-07, 2.41689e-06, 2.57928e-08
