MOF, HC CH4, Error CH4, HC CO2, Error CO2, HC H2O, Error H2O, HC N2, Error N2, HC N2O, Error N2O, HC O2, Error O2
MOF,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,
CITZIP_manual, 2.69487e-06, 1.66337e-08, 5.55029e-05, 4.29785e-07, 0.119584, 0.0604962, 2.18728e-06, 6.42631e-08, 2.48075e-05, 1.88283e-07, 3.1159e-06, 1.22402e-08
CIVTEH_clean, 9.14069e-06, 2.10486e-07, 0.000179086, 2.01385e-06, 0.00273564, 0.000510016, 2.93261e-06, 7.36148e-08, 0.000144392, 1.89432e-06, 1.13819e-05, 1.47476e-07
CIWREG_clean, 6.10653e-06, 3.72582e-08, 3.96888e-05, 2.40555e-07, 5.59114e-06, 6.60601e-08, 2.09371e-06, 2.00133e-08, 3.92469e-05, 2.42591e-07, 8.80397e-06, 1.03457e-07
CIWRIK_clean, 6.38762e-06, 6.86464e-08, 4.15919e-05, 2.84258e-07, 5.65999e-06, 6.87755e-08, 2.17398e-06, 8.08572e-09, 4.13187e-05, 2.55348e-07, 9.16269e-06, 1.29066e-07
CIWROQ_clean, 6.34578e-06, 3.31529e-08, 3.94946e-05, 2.06876e-07, 5.25408e-06, 5.72652e-08, 2.18255e-06, 9.25347e-09, 3.9266e-05, 2.12515e-07, 8.81504e-06, 2.42194e-08
CIWRUW_clean, 5.96101e-06, 6.0114e-08, 3.83479e-05, 2.07492e-07, 5.05426e-06, 1.02988e-07, 2.08497e-06, 1.08023e-08, 3.78026e-05, 1.11918e-07, 8.45156e-06, 6.28681e-08
CIWSAD_clean, 5.98179e-06, 6.11993e-08, 3.86151e-05, 1.72147e-07, 5.12858e-06, 2.0879e-07, 2.07903e-06, 1.16017e-08, 3.80606e-05, 1.87446e-07, 8.39752e-06, 6.59935e-08
CIWYUD_clean, 3.55973e-06, 2.78542e-08, 0.000120176, 5.57365e-06, 0.196001, 0.169751, 2.18432e-05, 4.26034e-06, 0.000559492, 0.00010346, 4.10505e-06, 2.79932e-08
CIWZEP_clean, 1.01028e-05, 4.47189e-07, 0.000108808, 2.37036e-06, 8.67915, 13.418, 1.70112e-06, 3.767e-08, 0.000110394, 2.76667e-06, 1.12872e-05, 2.06546e-07
CIWZIT_clean, 8.18353e-06, 5.34083e-07, 4.16266e-05, 1.77423e-06, 0.0432986, 0.0459802, 1.46332e-06, 3.27608e-08, 4.0484e-05, 1.12951e-06, 9.80024e-06, 3.45749e-07
CIXBUH_clean, 6.14992e-06, 3.41007e-08, 4.03123e-05, 3.0602e-07, 5.3847e-06, 4.1904e-08, 2.11974e-06, 1.80118e-08, 3.99922e-05, 1.3941e-07, 8.87614e-06, 4.12554e-08
CIXCAO_clean, 5.96769e-06, 5.1455e-08, 3.77938e-05, 1.27036e-07, 4.89514e-06, 1.56232e-08, 2.10531e-06, 9.82465e-09, 3.74602e-05, 9.63105e-08, 8.46213e-06, 7.78115e-08
CIYZUG_clean, 3.32278e-07, 1.46322e-08, 4.26352e-05, 3.00266e-07, 2.1975e-06, 4.11376e-07, 1.38389e-07, 3.31948e-09, 2.35695e-06, 3.46985e-08, 7.55931e-07, 1.19531e-08
CIZLEE_clean, 1.06837e-10, 5.3172e-12, 1.03766e-05, 6.08576e-07, 473.911, 1021.27, 1.72138e-07, 7.85401e-08, 0.0239444, 0.00880954, 1.75825e-08, 6.88057e-10
CIZMIJ_clean, 2.90014e-06, 8.37342e-09, 0.000126759, 3.97809e-07, 1.85176e-05, 1.15827e-06, 2.757e-06, 1.06467e-07, 2.56274e-05, 2.39982e-07, 4.05757e-06, 1.64187e-08
CIZTIP_clean, 3.32987e-05, 7.22836e-07, 0.000137933, 1.95277e-06, 8.58749e-06, 4.26058e-07, 3.60987e-06, 6.45298e-08, 9.7717e-05, 1.71769e-06, 3.31421e-05, 5.53078e-07
cm0623918si20061006_115210_clean, 3.77025e-05, 5.88468e-07, 0.000996659, 1.47308e-05, 0.284908, 0.158972, 6.42861e-06, 5.68172e-08, 0.000943404, 1.01199e-05, 3.22949e-05, 3.19053e-07
cm1008587_si_003_clean, 1.18132e-06, 1.1697e-08, 8.65783e-05, 7.09691e-07, 0.000517204, 0.000187119, 0.000146606, 2.53073e-05, 0.00418736, 0.00010583, 2.52381e-06, 2.92853e-08
cm202876r_si_002_clean, 1.50225e-05, 2.99706e-07, 0.00135916, 7.65969e-05, 0.512815, 1.29021, 4.05597e-06, 3.40681e-08, 0.000851951, 1.7336e-05, 3.26753e-05, 3.71242e-07
cm301726k_si_004_clean, 5.0441e-06, 4.27694e-08, 0.000240463, 8.76576e-06, 0.089681, 0.105082, 6.83946e-06, 8.1437e-07, 0.000283208, 5.96608e-05, 5.07521e-06, 2.63718e-08
cm303749m_si_001_clean, 8.30627e-06, 1.09402e-07, 5.13755e-05, 5.08074e-07, 2.81949e-05, 2.6729e-06, 3.2527e-06, 2.07565e-08, 4.72306e-05, 4.49806e-07, 8.09535e-06, 5.45619e-08
cm303749m_si_002_clean, 7.84358e-06, 7.06636e-08, 3.5035e-05, 2.81649e-07, 1.61598e-05, 1.55633e-06, 3.07088e-06, 1.56541e-08, 3.31521e-05, 1.17913e-07, 7.71364e-06, 3.14032e-08
cm500700z_si_003_clean, 1.09057e-05, 9.55641e-09, 0.000967292, 1.85033e-05, 84.2772, 44.6892, 3.59839e-06, 2.37677e-08, 0.00106445, 5.17366e-05, 1.1965e-05, 1.17487e-07
cm501138g_si_002_clean, 1.56691e-05, 4.84828e-07, 5.74505e-05, 4.86509e-07, 4.69365e-06, 2.19026e-07, 3.47011e-06, 4.07359e-08, 6.01209e-05, 5.72252e-07, 1.60367e-05, 1.93293e-07
cm501138g_si_005_clean, 1.58262e-05, 3.32977e-07, 5.86825e-05, 4.12543e-07, 5.54266e-06, 4.21221e-07, 3.62685e-06, 4.35371e-08, 6.13251e-05, 5.80632e-07, 1.6027e-05, 2.6861e-07
cm501138g_si_006_clean, 1.52079e-05, 3.36437e-07, 5.71513e-05, 3.35676e-07, 6.27073e-06, 6.88953e-07, 3.51123e-06, 3.53218e-08, 5.98447e-05, 4.94372e-07, 1.55366e-05, 2.55331e-07
cm501138g_si_008_clean, 1.58002e-05, 4.49279e-07, 5.8187e-05, 3.14782e-07, 6.18289e-06, 3.95321e-07, 3.56423e-06, 3.62965e-08, 6.09481e-05, 2.98173e-07, 1.60988e-05, 2.26355e-07
cm501138g_si_009_clean, 1.51338e-05, 3.45818e-07, 5.78635e-05, 3.05144e-07, 6.84418e-06, 6.59984e-07, 3.49675e-06, 3.88604e-08, 6.05767e-05, 2.30714e-07, 1.58967e-05, 2.05488e-07
cm501138g_si_010_clean, 1.51888e-05, 3.6482e-07, 5.8154e-05, 4.95697e-07, 6.18167e-06, 5.51473e-07, 3.48255e-06, 3.95567e-08, 6.09869e-05, 1.337e-07, 1.60916e-05, 2.25108e-07
cm501138g_si_011_clean, 1.49193e-05, 3.19858e-07, 5.50018e-05, 3.41723e-07, 6.59492e-06, 1.52464e-06, 3.47604e-06, 3.43116e-08, 5.74007e-05, 2.70813e-07, 1.54946e-05, 1.9189e-07
cm501138g_si_012_clean, 1.53536e-05, 4.82202e-07, 5.80398e-05, 2.94944e-07, 5.4646e-06, 1.80806e-07, 3.47701e-06, 4.03787e-08, 6.07726e-05, 2.50873e-07, 1.58755e-05, 1.83308e-07
cm503311x_alf100K_clean, 3.42437e-06, 1.45758e-08, 6.34611e-05, 1.53536e-07, 1.22665e-05, 3.90406e-07, 2.23068e-06, 5.61651e-08, 0.000368949, 1.46198e-05, 4.1339e-06, 2.70156e-08
cm503311x_alf11K_clean, 3.39836e-06, 5.7447e-09, 5.74092e-05, 2.2546e-07, 6.39626e-06, 7.92755e-08, 2.18447e-06, 4.84664e-08, 0.000271485, 1.08141e-05, 4.04827e-06, 1.88484e-08
cm503311x_alf125K_clean, 3.44258e-06, 1.62303e-08, 6.99519e-05, 4.03032e-07, 1.57372e-05, 3.79054e-07, 2.43575e-06, 8.17624e-08, 0.000657079, 6.70759e-05, 4.13497e-06, 3.34689e-08
cm503311x_alf150K_clean, 3.45321e-06, 1.7989e-08, 7.0023e-05, 5.71145e-07, 1.56958e-05, 5.99645e-07, 2.55329e-06, 1.16263e-07, 0.000795031, 3.11561e-05, 4.15254e-06, 1.37426e-08
cm503311x_alf175K_clean, 3.48973e-06, 1.11862e-08, 6.33793e-05, 1.41261e-07, 1.13075e-05, 1.7041e-07, 2.52947e-06, 7.60208e-08, 0.000413685, 3.14442e-05, 4.1958e-06, 2.46334e-08
cm503311x_alf200K_clean, 3.50719e-06, 1.67447e-08, 6.73258e-05, 3.72137e-07, 1.66405e-05, 3.99423e-07, 2.59915e-06, 3.8745e-08, 0.000476257, 2.52833e-05, 4.22734e-06, 1.57862e-08
cm503311x_alf225K_clean, 3.49359e-06, 1.93804e-08, 6.21355e-05, 4.00282e-07, 9.41138e-06, 2.24645e-07, 2.51764e-06, 6.86345e-08, 0.000352229, 1.66379e-05, 4.18473e-06, 2.14624e-08
cm503311x_alf250K_clean, 3.5151e-06, 1.0059e-08, 6.8014e-05, 2.91487e-07, 1.04958e-05, 1.97579e-07, 2.74557e-06, 6.29504e-08, 0.000673803, 5.39534e-05, 4.22471e-06, 1.90666e-08
cm503311x_alf275K_clean, 3.51457e-06, 1.72022e-08, 7.42333e-05, 4.23964e-07, 1.44133e-05, 2.38639e-07, 2.86093e-06, 1.60959e-07, 0.00107375, 5.95115e-05, 4.26187e-06, 1.76878e-08
cm503311x_alf290K_clean, 3.54835e-06, 3.71537e-08, 6.93703e-05, 4.52351e-07, 1.39595e-05, 5.25096e-07, 2.73049e-06, 9.83016e-08, 0.000737229, 5.50158e-05, 4.29221e-06, 1.54633e-08
cm503311x_alf300K_clean, 3.50962e-06, 1.87599e-08, 6.76301e-05, 3.70818e-07, 1.17837e-05, 2.89825e-07, 2.64487e-06, 6.09649e-08, 0.000591284, 5.87319e-05, 4.246e-06, 3.54398e-08
cm503311x_alf325K_clean, 3.46655e-06, 1.83844e-08, 7.23006e-05, 3.83925e-07, 1.32559e-05, 2.70412e-07, 2.71963e-06, 1.13543e-07, 0.000868688, 7.95003e-05, 4.18014e-06, 6.9202e-09
cm503311x_alf350K_clean, 3.41163e-06, 1.84192e-08, 6.75343e-05, 2.53813e-07, 1.39437e-05, 2.75422e-07, 2.50237e-06, 7.80341e-08, 0.000396377, 3.71346e-05, 4.09796e-06, 7.28793e-09
cm503311x_alf375K_clean, 3.38615e-06, 2.52908e-08, 6.91128e-05, 3.09924e-07, 1.69513e-05, 2.59087e-07, 2.47172e-06, 1.08706e-07, 0.00034361, 1.63404e-05, 4.03857e-06, 3.04568e-08
cm503311x_alf400K_clean, 3.41253e-06, 1.64139e-08, 7.03569e-05, 5.43213e-07, 1.17182e-05, 1.9876e-07, 2.70154e-06, 1.00199e-07, 0.000762656, 4.64214e-05, 4.10187e-06, 2.68462e-08
cm503311x_alf40K_clean, 3.39196e-06, 8.32156e-09, 5.77153e-05, 1.44409e-07, 6.94705e-06, 8.87041e-08, 2.18474e-06, 3.1551e-08, 0.000292989, 2.37953e-05, 4.0627e-06, 1.68275e-08
cm503311x_alf425K_clean, 3.42736e-06, 1.48005e-08, 6.60881e-05, 1.70749e-07, 1.06015e-05, 1.17073e-07, 2.52593e-06, 1.72774e-08, 0.000461455, 2.13503e-05, 4.12008e-06, 1.36335e-08
cm503311x_alf450K_clean, 3.41245e-06, 1.64826e-08, 7.31899e-05, 4.49074e-07, 1.81643e-05, 9.31461e-07, 2.63088e-06, 7.30004e-08, 0.000676993, 4.93349e-05, 4.0898e-06, 1.90216e-08
cm503311x_alf475K_clean, 3.46027e-06, 1.5257e-08, 8.6499e-05, 1.01888e-06, 1.68204e-05, 8.12259e-07, 3.24421e-06, 1.05623e-07, 0.00251077, 0.000224313, 4.1983e-06, 2.91042e-08
cm503311x_alf500K_clean, 3.40344e-06, 1.63844e-08, 8.07426e-05, 5.65738e-07, 1.95137e-05, 4.83366e-07, 2.94977e-06, 1.53249e-07, 0.00147095, 7.4136e-05, 4.07619e-06, 3.19812e-08
cm503311x_alf70K_clean, 3.43008e-06, 1.38741e-08, 5.85973e-05, 1.69961e-07, 8.10946e-06, 1.54236e-07, 2.23697e-06, 7.02293e-08, 0.000279546, 9.48998e-06, 4.10315e-06, 2.02551e-08
cm503311x_aloh150K_clean, 3.59533e-06, 1.46648e-08, 8.84713e-05, 6.76646e-07, 6.9015e-05, 7.81493e-06, 2.35343e-06, 3.59683e-08, 0.000577874, 2.00447e-05, 4.36212e-06, 2.58433e-08
cm503311x_aloh175K_clean, 3.58221e-06, 2.73881e-08, 8.70398e-05, 3.51801e-07, 7.85567e-05, 9.08657e-06, 2.30413e-06, 3.98754e-08, 0.000564227, 3.00764e-05, 4.33078e-06, 2.24387e-08
cm503311x_aloh200K_clean, 3.60395e-06, 2.39135e-08, 8.82172e-05, 7.57946e-07, 6.40934e-05, 7.38412e-06, 2.3288e-06, 5.04318e-08, 0.000596641, 4.49781e-05, 4.33648e-06, 1.87635e-08
cm503311x_aloh225K_clean, 3.59167e-06, 1.46386e-08, 9.12638e-05, 1.07855e-06, 7.93538e-05, 3.26898e-06, 2.37903e-06, 6.93688e-08, 0.000682052, 4.63286e-05, 4.34466e-06, 3.30028e-08
cm503311x_aloh250K_clean, 3.61076e-06, 2.39907e-08, 8.49311e-05, 6.86767e-07, 6.85441e-05, 5.0391e-06, 2.30378e-06, 4.96117e-08, 0.000443983, 2.49034e-05, 4.36574e-06, 3.28015e-08
cm503311x_aloh275K_clean, 3.5954e-06, 1.53249e-08, 8.69767e-05, 6.87882e-07, 9.68918e-05, 3.01395e-05, 2.32762e-06, 6.02456e-08, 0.000490846, 6.03959e-05, 4.37407e-06, 3.31742e-08
cm503311x_aloh300K_clean, 3.59057e-06, 1.07795e-08, 8.44941e-05, 6.82787e-07, 6.35275e-05, 7.64157e-06, 2.31302e-06, 4.60774e-08, 0.000533802, 4.62985e-05, 4.32518e-06, 1.6028e-08
cm503311x_aloh325K_clean, 3.59567e-06, 1.39131e-08, 8.49312e-05, 6.89733e-07, 6.07695e-05, 1.42502e-05, 2.31035e-06, 7.57668e-08, 0.000525133, 3.34802e-05, 4.32364e-06, 1.22899e-08
cm503311x_aloh350K_clean, 3.59635e-06, 1.38078e-08, 8.5964e-05, 7.4624e-07, 5.97616e-05, 8.70446e-06, 2.31463e-06, 9.46078e-08, 0.000589094, 3.57273e-05, 4.33215e-06, 2.15447e-08
cm503311x_aloh375K_clean, 3.62109e-06, 1.38573e-08, 8.34379e-05, 9.23707e-07, 6.79976e-05, 1.00296e-05, 2.30504e-06, 9.9116e-08, 0.000428805, 3.57253e-05, 4.36378e-06, 2.05468e-08
cm503311x_aloh400K_clean, 3.60785e-06, 1.48527e-08, 8.39819e-05, 7.31543e-07, 8.72082e-05, 1.84889e-05, 2.2949e-06, 7.99677e-08, 0.000416969, 2.10128e-05, 4.38079e-06, 3.30942e-08
cm503311x_aloh425K_clean, 3.6069e-06, 1.04507e-08, 8.63729e-05, 8.78315e-07, 8.43047e-05, 7.44247e-06, 2.33754e-06, 1.03157e-07, 0.000511655, 4.10291e-05, 4.36521e-06, 2.41072e-08
cm503311x_aloh450K_clean, 3.60656e-06, 1.46866e-08, 8.766e-05, 7.64106e-07, 9.36986e-05, 8.76317e-06, 2.3259e-06, 8.7478e-08, 0.000518391, 2.94985e-05, 4.37438e-06, 3.26203e-08
cm503311x_aloh475K_clean, 3.60636e-06, 1.02158e-08, 8.71865e-05, 7.08778e-07, 8.35627e-05, 5.35356e-06, 2.34577e-06, 7.98699e-08, 0.000506004, 2.06431e-05, 4.37613e-06, 3.52411e-08
cm503311x_aloh500K_clean, 3.60976e-06, 1.45005e-08, 8.60975e-05, 7.34232e-07, 0.00010529, 4.42885e-06, 2.3024e-06, 8.29606e-08, 0.000444608, 2.33752e-05, 4.39446e-06, 3.4946e-08
cm503311x_F-mil-53-Al-lp-mono_clean, 1.92195e-05, 1.73922e-07, 0.000107725, 3.12094e-07, 2.25644e-05, 4.45667e-07, 5.2745e-06, 1.76377e-08, 8.63903e-05, 1.35387e-07, 1.90708e-05, 1.28298e-07
cm503311x_F-mil-53-Al-lp-ortho_clean, 1.92075e-05, 1.3317e-07, 0.000106247, 5.09195e-07, 2.43843e-05, 8.53851e-07, 5.25032e-06, 1.10416e-08, 8.49718e-05, 4.55743e-07, 1.90146e-05, 9.41248e-08
cm503311x_F-mil-53-Al-np_clean, 8.77868e-14, 4.45413e-15, 5.38242e-06, 2.59392e-07, 1.45349e-05, 4.98647e-07, 1.35226e-09, 7.0535e-11, 1.89036e-06, 1.03177e-07, 9.90692e-08, 6.89596e-09
cm503311x_OH-mil-53-Al-lp-ortho_clean, 1.88175e-05, 7.63507e-08, 0.00011217, 1.28129e-07, 7.12695e-06, 2.57006e-07, 5.36509e-06, 4.44721e-08, 9.5276e-05, 2.80987e-07, 1.79678e-05, 9.89012e-08
cm901983a_si_001_clean, 0.000140895, 2.22085e-05, 0.00248012, 5.78406e-05, 2.87771e-05, 2.97762e-06, 1.24443e-05, 4.34698e-07, 0.00232058, 4.28995e-05, 0.000262439, 1.60731e-05
COBWEV_clean, 1.47947e-07, 2.02443e-09, 4.34496e-05, 3.2871e-06, 12.0306, 23.3108, 1.34306e-07, 3.76833e-09, 3.34231e-05, 1.12114e-06, 2.1502e-07, 1.56428e-09
COCMAJ_clean, 4.25765e-06, 2.98909e-08, 4.00223e-05, 1.02233e-06, 0.1152, 0.107763, 1.94103e-06, 1.00804e-08, 3.90278e-05, 1.55116e-06, 4.28606e-06, 3.43594e-08
COCMOY_clean, 7.04527e-06, 2.36379e-08, 4.65695e-05, 4.60777e-06, 0.0843663, 0.120669, 3.14218e-06, 1.38368e-08, 4.78503e-05, 2.78865e-06, 6.83988e-06, 1.65013e-08
COCMUE_clean, 9.5619e-06, 3.82639e-08, 4.09234e-05, 2.18515e-06, 0.0639109, 0.0309041, 3.55075e-06, 1.76415e-08, 4.19819e-05, 2.02715e-06, 9.10554e-06, 2.84576e-08
COCNAL_clean, 8.20253e-06, 5.55986e-08, 2.92242e-05, 3.9254e-07, 0.00877999, 0.00822146, 3.11212e-06, 8.99005e-09, 3.12528e-05, 6.18233e-07, 7.81756e-06, 4.44128e-08
COCNEP_clean, 1.06607e-05, 1.13205e-07, 2.61162e-05, 7.82665e-08, 9.97924e-06, 5.52671e-07, 3.59622e-06, 3.65567e-08, 2.78845e-05, 9.10556e-08, 9.67025e-06, 1.05571e-07
CODDAA_clean, 7.92273e-09, 9.42436e-10, 2.25293e-06, 6.60671e-08, 0.000222916, 2.64187e-05, 0.000178036, 6.62128e-05, 0.000305646, 0.000143456, 7.01299e-07, 2.15257e-08
CODFEH_clean, 4.29026e-08, 1.57772e-09, 0.000748124, 8.69622e-05, 30024.6, 12646.2, 7.1163e-07, 6.05176e-08, 0.00483961, 0.000271419, 6.02901e-07, 7.19701e-09
CODFUX_clean, 9.44312e-06, 1.19334e-07, 0.000731821, 3.67485e-06, 7.5951e-05, 2.49348e-06, 0.000872831, 2.37939e-05, 3.94756, 0.0453617, 1.56551e-05, 1.90874e-07
CODGAE_clean, 8.90434e-05, 6.72386e-07, 0.0150574, 0.000414146, 0.000582945, 2.30288e-05, 0.000738308, 0.000129476, 0.345033, 0.0278032, 0.000117303, 9.04159e-07
CODKOX_clean, 1.51091e-09, 1.04518e-10, 0.00868133, 0.000577117, 9.73329e+06, 8.14855e+06, 6.55823e-06, 1.39303e-06, 0.380116, 0.0689358, 6.77863e-07, 1.47659e-08
CODNAM_clean, 3.06737e-06, 3.01346e-08, 0.000342941, 2.09772e-06, 0.000814451, 7.82291e-05, 7.39848e-06, 4.4017e-07, 0.000637386, 1.26665e-05, 4.72821e-06, 6.40857e-08
CODQOD_clean, 2.23832e-09, 1.82949e-10, 0.0150741, 0.00168872, 3.89867e+07, 1.48383e+07, 7.84316e-06, 1.31051e-06, 0.665785, 0.259788, 6.45599e-07, 2.15286e-08
CODQUJ_clean, 1.57397e-09, 1.16228e-10, 0.0165362, 0.00163574, 9.1331e+07, 9.10722e+07, 9.64283e-06, 9.25547e-07, 0.787522, 0.0675441, 6.92055e-07, 1.96086e-08
CODROD_clean, 8.15078e-07, 9.10544e-09, 3.55966, 0.893391, 4.83845e+10, 8.10538e+10, 0.368096, 0.163539, 28831, 16444.6, 5.65913e-06, 2.17193e-07
CODRUJ_clean, 8.02092e-07, 1.3177e-08, 4.97506, 0.640049, 2.8481e+11, 2.21049e+11, 0.867993, 0.478435, 77316.6, 55600.2, 6.32892e-06, 2.64232e-07
CODSOF_clean, 4.68938e-06, 1.76115e-07, 0.00105539, 2.66585e-05, 0.0052218, 0.000202629, 1.39464e-06, 2.11026e-08, 0.000504636, 1.20053e-05, 9.19786e-06, 2.04636e-07
CODSUL_clean, 7.82225e-06, 5.15322e-08, 0.000388152, 2.68252e-05, 0.09709, 0.0525572, 2.04991e-06, 4.80407e-08, 0.000318545, 4.7064e-05, 7.05645e-06, 7.26057e-08
COGKEP_clean, 4.12192e-06, 3.76877e-08, 6.34282e-05, 1.16808e-06, 3.08103e-05, 2.25353e-06, 8.44088e-06, 3.21968e-07, 0.00107255, 8.57367e-05, 4.18004e-06, 4.27908e-08
COGNAO_clean, 2.64654e-05, 2.22857e-07, 8.50295e-05, 3.56891e-07, 0.000830101, 0.000387098, 5.08901e-06, 3.44519e-08, 9.53587e-05, 2.84016e-07, 1.83697e-05, 7.50084e-08
COJGEO_clean, 1.0224e-05, 1.00184e-07, 0.000180336, 3.05473e-06, 168.273, 130.182, 3.29461e-06, 4.3457e-08, 0.00013521, 7.94693e-07, 1.1567e-05, 8.93881e-08
COJHIT_clean, 6.76735e-06, 2.30417e-08, 2.62888e-05, 7.18451e-08, 2.90743e-06, 1.06831e-08, 2.64602e-06, 1.06054e-08, 2.19747e-05, 1.29319e-07, 7.07853e-06, 3.8377e-08
COKFAK_clean, 1.04921e-05, 1.75012e-07, 0.000362832, 3.53727e-06, 5.93226e-05, 9.35008e-07, 2.30326e-06, 4.17422e-08, 8.07756e-05, 7.04557e-07, 1.23722e-05, 1.24249e-07
COKJIX_clean, 3.23845e-06, 9.64065e-08, 0.000870171, 1.371e-05, 0.00519437, 0.000844382, 0.000367009, 4.6727e-05, 0.823527, 0.0725918, 1.18492e-05, 1.85552e-07
COKJOD_clean, 3.31755e-06, 1.60548e-07, 0.000801018, 5.69482e-06, 0.00294462, 0.000476548, 0.000372902, 8.34555e-05, 0.886786, 0.0258193, 1.20558e-05, 2.50346e-07
COKMEW_clean, 2.08294e-06, 8.68358e-09, 2.0476e-05, 2.5635e-07, 1.92277e-05, 3.11849e-06, 1.38167e-06, 2.2952e-08, 7.02161e-05, 2.80212e-06, 2.34207e-06, 1.51504e-08
COKMIA_clean, 2.02661e-06, 1.00547e-08, 4.50534e-05, 7.68549e-07, 0.000537919, 0.000162821, 1.51777e-06, 2.09356e-08, 0.000165284, 6.3666e-06, 2.32792e-06, 1.54328e-08
COKMOG_clean, 1.59928e-06, 5.07644e-09, 2.26835e-05, 1.8956e-07, 2.17049e-05, 1.04395e-05, 1.21422e-06, 1.18638e-08, 0.000192712, 1.79663e-05, 1.80422e-06, 7.00229e-09
COKMUM_clean, 2.02607e-06, 6.71953e-09, 5.63552e-05, 1.0573e-06, 0.00363839, 0.00156126, 1.40863e-06, 1.74889e-08, 9.20214e-05, 1.32758e-06, 2.29553e-06, 6.3411e-09
COKNAT_clean, 2.30117e-06, 5.32317e-09, 3.42547e-05, 1.61477e-07, 3.96731e-05, 3.8016e-06, 1.55867e-06, 1.28499e-08, 0.000102212, 4.80402e-06, 2.62258e-06, 1.72625e-08
COKPEZ_clean, 3.19668e-06, 9.36935e-09, 0.000142201, 5.55818e-07, 0.0044908, 0.00128115, 3.68293e-06, 1.67902e-07, 0.0114686, 0.00153978, 3.79339e-06, 2.87402e-08
COKPID_clean, 2.11167e-06, 8.71137e-09, 2.43598e-05, 1.50299e-07, 4.30809e-05, 1.09603e-05, 1.43001e-06, 1.25215e-08, 9.88592e-05, 2.66427e-06, 2.37801e-06, 1.37694e-08
COKPOJ_clean, 2.09444e-06, 1.42763e-08, 4.67776e-05, 4.83894e-07, 0.000540676, 9.44431e-05, 1.4639e-06, 8.55904e-09, 0.000185389, 4.85425e-06, 2.40655e-06, 1.52777e-08
COKPUP_clean, 2.39649e-06, 1.11274e-08, 4.46974e-05, 4.67919e-07, 9.8744e-05, 1.27253e-05, 1.64757e-06, 3.11894e-08, 0.000167657, 9.39721e-06, 2.74256e-06, 2.07706e-08
COKQAW_clean, 1.29045e-06, 8.68113e-09, 1.83774e-05, 1.13921e-07, 2.67229e-05, 4.65238e-06, 1.05846e-06, 1.07067e-08, 0.000201822, 1.11825e-05, 1.47156e-06, 5.66333e-09
COKQEA_clean, 2.03362e-06, 9.36639e-09, 4.66047e-05, 4.28278e-07, 0.000773413, 0.000476886, 1.4687e-06, 3.37613e-08, 0.000279338, 1.09229e-05, 2.32939e-06, 9.75586e-09
COKQIE_clean, 2.05295e-06, 1.3346e-08, 2.92694e-05, 2.68242e-07, 0.000163605, 0.000110547, 1.48763e-06, 1.01437e-08, 0.000129947, 7.46255e-06, 2.31452e-06, 6.51554e-09
COKQOK_clean, 2.3876e-06, 6.8155e-09, 4.15011e-05, 2.58892e-07, 7.33057e-05, 9.57065e-06, 1.67483e-06, 2.0856e-08, 0.000218745, 2.84488e-06, 2.73178e-06, 2.38909e-08
COKROL_clean, 1.77249e-05, 1.29898e-07, 0.000893797, 1.30957e-05, 0.223161, 0.0218777, 4.56078e-06, 4.78101e-08, 0.000255518, 6.05752e-06, 1.94526e-05, 1.61873e-07
COKRUR_clean, 2.75826e-05, 6.25619e-07, 0.000298164, 5.7867e-06, 0.00450736, 0.00350872, 6.12429e-06, 4.19185e-08, 0.000338565, 5.52014e-06, 2.50915e-05, 2.68589e-07
COLPEA_clean, 1.19373e-07, 8.1822e-09, 0.000409087, 8.91521e-05, 16.098, 9.54175, 2.52549e-05, 5.19213e-06, 0.00155309, 0.000246189, 3.2975e-06, 8.29935e-08
COMDOY_clean, 1.78712e-06, 1.49529e-08, 0.000132548, 1.40516e-07, 3.5127e-06, 1.9624e-08, 0.000600437, 0.000113981, 0.0288311, 0.00187865, 3.67509e-06, 4.62485e-08
COMGUH_clean, 2.48288e-07, 2.05812e-09, 7.25724e-05, 2.28756e-06, 4.73306, 5.03994, 2.84229e-07, 7.8342e-09, 3.40618e-05, 8.86686e-07, 3.95152e-07, 6.10221e-09
COMZAH_clean, 2.70074e-05, 9.70952e-07, 0.000429703, 4.46817e-06, 0.00523797, 0.000525953, 3.90114e-06, 8.0027e-08, 0.000432159, 5.2123e-06, 2.56969e-05, 4.36925e-07
COPXOV_clean, 2.7222e-05, 1.09665e-06, 0.000500092, 9.68809e-06, 5.57121e-05, 2.25392e-05, 4.26181e-06, 1.27997e-07, 0.000380643, 2.03344e-06, 2.09958e-05, 1.35949e-07
COQGAS_clean, 1.03108e-05, 8.89985e-08, 3.68592e-05, 8.82578e-08, 4.11355e-06, 1.98475e-07, 2.59184e-06, 1.1195e-08, 3.16012e-05, 1.17968e-07, 8.29715e-06, 5.65883e-08
COQHUN_clean, 3.13852e-05, 4.27026e-07, 0.000369759, 2.90473e-06, 0.00789929, 0.00940947, 5.68838e-06, 9.81609e-08, 0.00028268, 3.27038e-06, 2.51e-05, 3.4676e-07
COQJAV_clean, 4.21476e-05, 6.53234e-07, 0.000255254, 1.95325e-06, 0.0460128, 0.00729475, 5.41615e-06, 7.36305e-08, 0.000268663, 2.78548e-06, 3.84071e-05, 2.20661e-07
