ABAVIJ_clean,4.45543,2.49720,650.086,0.398506,0.001351
ABAYIO_clean,11.39486,4.32260,3064.34,0.831989,0.000438
ABAYOU_clean,11.27344,4.51080,3036.56,0.842387,0.000593
ABESUX_clean,5.87931,4.42585,637.771,0.698221,0.000641
ABETAE_clean,5.88295,4.42122,656.744,0.70238,0.000883
ABETIN_clean,9.47418,7.83744,4078.14,0.94301,0.000827
ABEXEM_clean,4.82084,4.14331,991.433,0.532274,0.001213
ABEXEN_clean,18.80790,13.71867,2618.72,0.904835,0.001266
ABEXIQ_clean,4.80529,4.06893,972.207,0.528861,0.000830
ABEXOW_clean,4.77270,4.04921,936.267,0.525812,0.000400
ABEXUC_clean,4.74458,4.01680,909.988,0.524985,0.000701
ABEYAJ_clean,4.73097,3.97150,890.616,0.523218,0.000866
ABEYIR_clean,4.69665,3.92184,858.581,0.521944,0.001189
ABIXOZ_clean,6.22728,4.05150,1367.82,0.598998,0.000626
ABIYIV_clean,4.33176,3.82431,794.583,0.33067,0.000665
ABULOB_clean,4.86958,4.16445,1585.92,0.655217,0.000704
ABUWOJ_clean,5.07969,4.03039,2353.39,0.801216,0.001308
ac403674p_si_001_clean,8.50423,8.27985,1414.53,0.543559,0.000812
ACAJIY_clean,4.94767,3.41780,1817.17,0.601256,0.001654
ACAJIZ_clean,6.18649,5.74044,1018.17,0.415701,0.000499
ACAJOF_clean,6.86398,6.10482,1214.1,0.462052,0.000586
ACAKUM_clean,4.47083,3.00990,824.302,0.358112,0.000814
ACALIB_clean,3.96462,2.41854,634.696,0.333961,0.000811
ACIBIY_clean,5.10081,3.73403,972.173,0.454826,0.000964
ACIBOE_clean,8.25776,7.03071,2298.39,0.798276,0.000951
ACOGAB_clean,5.20085,3.89327,1960.08,0.692558,0.001476
ACOGEF_clean,5.20115,3.94888,1738.78,0.681752,0.001429
ACOLEL_clean,4.00255,2.78217,164.575,0.148844,0.000892
ACOLIP_clean,4.91034,3.57647,2126.12,0.640618,0.001319
ACOLOV_clean,8.42183,5.53552,3027.2,0.850577,0.001017
acs.cgd.5b01686_WAHFUJ1434675_clean,5.00451,3.93435,1381.35,0.489986,0.001053
acs.cgd.6b00463_OLOMUZ1451936_clean,10.32513,7.87202,2091.7,0.768463,0.000672
acs.chemmater.6b02817_cm6b02817_si_004_clean,10.39878,5.64581,2879.64,0.927252,0.000671
