ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAVIJ_clean 3 3 2
ABAYIO_clean 1 1 1
ABAYOU_clean 1 1 1
ABESUX_clean 2 2 2
ABETAE_clean 2 2 2
ABETIN_clean 1 1 1
ABEXEM_clean 3 3 2
ABEXEN_clean 2 2 1
ABEXIQ_clean 3 3 2
ABEXOW_clean 3 3 2
ABEXUC_clean 3 3 2
ABEYAJ_clean 3 3 2
ABEYIR_clean 3 3 2
ABIXOZ_clean 3 3 2
ABIYIV_clean 3 2 2
ABULOB_clean 4 2 2
ABUWOJ_clean 2 2 2
ac403674p_si_001_clean 2 2 2
ACAJIY_clean 2 2 2
ACAJIZ_clean 2 2 3
ACAJOF_clean 3 2 1
ACAKUM_clean 3 3 2
ACALIB_clean 3 3 2
ACIBIY_clean 2 2 2
ACIBOE_clean 2 2 2
ACOGAB_clean 3 2 2
ACOGEF_clean 3 2 2
ACOLEL_clean 2 2 2
ACOLIP_clean 3 3 3
ACOLOV_clean 3 2 1
acs.cgd.5b01686_WAHFUJ1434675_clean 3 3 2
acs.cgd.6b00463_OLOMUZ1451936_clean 2 2 1
acs.chemmater.6b02817_cm6b02817_si_004_clean 2 2 2
acs.chemrev.6b00346_cr6b00346_si_001_clean 2 2 2
acscombsci.5b00188_24205_clean 4 3 4
acscombsci.5b00188_3001288_clean 1 1 1
acscombsci.5b00188_5020072_clean 2 2 3
acscombsci.5b00188_5024922_clean 2 2 2
acscombsci.5b00188_5036495_clean 2 2 2
acscombsci.5b00188_5040209_clean 3 2 3
acscombsci.5b00188_8372_clean 4 4 2
acs.inorgchem.5b02108_ic5b02108_si_002_clean 2 2 3
acs.inorgchem.5b02973_ic5b02973_si_002_clean 2 2 4
acs.inorgchem.6b00081_ic6b00081_si_001_clean 1 1 2
acs.inorgchem.6b00433_ic6b00433_si_002_clean 3 3 2
acs.inorgchem.6b00894_ic6b00894_si_002_clean 2 2 2
acs.inorgchem.6b00894_ic6b00894_si_003_clean 3 2 1
acs.inorgchem.6b01569_ic6b01569_si_002_clean 1 2 3
acs.inorgchem.6b01740_ic6b01740_si_002_clean 1 1 1
acs.inorgchem.6b02407_ic6b02407_si_002_clean 3 2 2
acs.inorgchem.6b02407_ic6b02407_si_003_clean 2 2 3
acs.inorgchem.6b02514_ic6b02514_si_002_clean 4 3 2
acs.inorgchem.6b02696_ic6b02696_si_002_clean 1 1 1
acs.jchemed.6b00258_ed6b00258_si_005_clean 1 3 3
ACUBAB_clean 4 4 2
ACUFEK_clean 1 1 1
ACUJOZ_manual 1 1 2
ACUTOI_clean 4 2 2
ADABIS_clean 3 3 3
ADABUE_clean 3 3 2
ADARAA_clean 1 1 1
ADASAB_charged 1 1 1
ADASEF_clean 1 1 1
ADASIJ_clean 2 2 2
ADASOP_clean 2 2 2
ADASUV_clean 2 2 2
ADATAC_clean 1 1 1
ADATEG_manual 1 1 1
ADATIK_clean 1 1 1
ADATOQ_clean 1 1 1
ADATUW_clean 2 2 2
ADAVAE_clean 2 2 2
ADAVEI_clean 2 2 2
ADAVIM_clean 2 2 2
ADAXEK_clean 4 3 3
ADAXIO_clean 2 2 3
ADEGIA01_clean 4 3 3
ADEGIA_clean 4 3 3
ADIQEL_clean 4 3 3
ADOCEC_clean 2 2 2
ADODAA_charged 2 2 2
ADODII_clean 4 2 2
ADUROI_clean 1 1 1
ADUWIH_clean 2 2 2
ADUWON_clean 1 1 1
AFEJOK_ion_b 3 3 3
AFENEE_clean 3 3 2
AFIPAH_clean 4 4 2
AFITEP_clean 5 2 2
AFITUF_clean 2 2 1
AFIXAO_clean 3 2 2
AFIXES_clean 3 2 2
AFOQUI_clean 3 3 2
AFOTUL_clean 4 3 2
AFOVAT_clean 4 2 3
AFOVEX_clean 4 3 2
AFOVIB_clean 4 3 2
AFOVOH_clean 4 3 2
AFOYAW_clean 2 2 2
AFOYEB_clean 2 2 5
AFOYIE_clean 4 2 2
AFOYOK_clean 4 2 2
AFUKET_clean 3 2 1
